央视,#genre#
CCTV5＋HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225562/10000100000000060000000000007619_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=Qp4+3gWj3vfSxaztdu7DgVME/G7aGqZkns7xKsEGVeHCFKSBU4DSDfn8Jf9sNExAlrFOodCf6JzVWcXOmXflaSQKyDMZ1bTMsdoG3z2DeR6Jo72WBhV7ipL6GfcjigeyVS54mcN0kiIQ/E6qPCjkYf1Hj8ACjfImqC3FxWFCcGI=:20210227131939,
湖北,#genre#
湖北卫视HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225570/10000100000000060000000000015620_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2D+bFi37WN3AZu2bDcUi/UjokFTbj4rCw14DRUTelHCiM=:20220106103026,
湖北经视HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225684/10000100000000060000000000404037_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2DlNeZN7RdO3z3PzG324I1q4kFTbj4rCw14DRUTelHCiM=:20220106103026,
湖北综合HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225681/10000100000000060000000000404038_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2DWHnMj5BmhHEHsgfDfCUkdYkFTbj4rCw14DRUTelHCiM=:20220106103026,
湖北垄上HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225678/10000100000000060000000000404044_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2D9siSJ1Ncb3a2mOEgN9CMmIkFTbj4rCw14DRUTelHCiM=:20220106103026,
湖北公共HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225687/10000100000000060000000000404034_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2DCitrs3AFVs2YNgFRpTqjuokFTbj4rCw14DRUTelHCiM=:20220106103026,
湖北影视HD,rtsp://122.191.50.135/PLTV/88888888/224/3221226147/10000100000000060000000012157909_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2DZb4MHDVuMznDACMeIjrwf4kFTbj4rCw14DRUTelHCiM=:20220106103026,
湖北教育HD,rtsp://122.191.50.135/PLTV/88888888/224/3221226121/10000100000000060000000012157908_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2DlE+s5+iE0lqeJC56P50KcIkFTbj4rCw14DRUTelHCiM=:20220106103026,
湖北生活HD,rtsp://122.191.50.135/PLTV/88888888/224/3221226122/10000100000000060000000012157910_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2DAFU13eLgj9Uk7FI/WOyRookFTbj4rCw14DRUTelHCiM=:20220106103026,
宜昌综合HD,rtsp://122.191.50.135/PLTV/88888888/224/3221226138/10000100000000060000000013120072_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2D5AuRYT1ULWSsIftWiWDfqYkFTbj4rCw14DRUTelHCiM=:20220106103026,
宜昌旅游HD,rtsp://122.191.50.135/PLTV/88888888/224/3221226175/10000100000000060000000013120073_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2DsKpknKKCuZlBhHq6JchFsIkFTbj4rCw14DRUTelHCiM=:20220106103026,
卫视,#genre#
湖南卫视HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225561/10000100000000060000000000007637_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2DQdlmpjUAd/OUA0Z2z8dz4IkFTbj4rCw14DRUTelHCiM=:20220106103026,
浙江卫视HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225573/10000100000000060000000000015621_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2D47Rhva7IXVnWa8ehI3RIVYkFTbj4rCw14DRUTelHCiM=:20220106103026,
江苏卫视HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225604/10000100000000060000000000007634_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2D4B0zFvuCyOYCg8fgIHtZSokFTbj4rCw14DRUTelHCiM=:20220106103026,
东方卫视HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225694/10000100000000060000000000015623_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2DYyKRt0dT5uT5mVZakf1I1YkFTbj4rCw14DRUTelHCiM=:20220106103026,
