 央视频道,#genre#
 盐城新闻综合,http://hlsbkmgsplive.miguvideo.com/wd_r2/jstv/ycxinwenzonghe/600/index.m3u8?&encrypt=
 淮安新闻综合,http://hlsbkmgsplive.miguvideo.com/wd_r2/jstv/haxinwenzonghe/600/index.m3u8?&encrypt=
 镇江新闻综合,http://hlsbkmgsplive.miguvideo.com/wd_r2/jstv/zjxinwenzonghe/600/index.m3u8?&encrypt=
 徐州新闻综合,http://hlsbkmgsplive.miguvideo.com/wd_r2/jstv/xzxinwenzonghe/600/index.m3u8?&encrypt=
 宿迁新闻综合,http://hlsbkmgsplive.miguvideo.com/wd_r2/jstv/sqxinwenzonghe/600/index.m3u8?&encrypt=
 连云港新闻综合,http://hlsbkmgsplive.miguvideo.com/wd_r2/jstv/lygxinwenzonghe/600/index.m3u8?&encrypt=
 温州新闻综合,http://hlsbkmgsplive.miguvideo.com/wd_r4/2018/zhejiang/wenzhouxinwenzonghe/1000/index.m3u8?&encrypt=
 温州经济科教,http://hlsbkmgsplive.miguvideo.com/wd_r4/2018/zhejiang/wenzhoujingjikeji/1000/index.m3u8?&encrypt=
 温州都市生活,http://hlsbkmgsplive.miguvideo.com/wd_r4/2018/zhejiang/wenzhoudushishenghu/1000/index.m3u8?&encrypt=
 温州公共,http://hlsbkmgsplive.miguvideo.com/wd_r4/2018/zhejiang/wenzhougonggong/1000/index.m3u8?&encrypt=
 广东影视,http://hlsbkmgsplive.miguvideo.com/wd_r1/2018/nfmedia/nfys/1000/index.m3u8?&encrypt=
 嘉佳卡通,http://hlsbkmgsplive.miguvideo.com/wd_r1/2018/nfmedia/jjkt/1000/index.m3u8?&encrypt=
熊猫频道,#genre#
 熊猫频道,http://hlsbkmgsplive.miguvideo.com/ws_x/2018/xiongmao/HD/2000/index.m3u8?&encrypt=
 熊猫频道1,http://hlsbkmgsplive.miguvideo.com/envivo_x/2018/SD/xiongmao01/1000/index.m3u8?&encrypt=
 熊猫频道2,http://hlsbkmgsplive.miguvideo.com/envivo_x/2018/SD/xiongmao02/1000/index.m3u8?&encrypt=
